Country Name,Country Code,Capital City,Longitude,Latitude,Coordinates,,,,
Isle of Man,IMN,Douglas,54.15,-4.483333,"54.15, -4.483333",COUNTRY,,,
India,IND,New Delhi,28.6,77.2,"28.6, 77.2",COUNTRY,,,
Ireland,IRL,Dublin,53.31666667,-6.233333,"53.3166666666666, -6.233333",COUNTRY,,,
"Iran, Islamic Rep.",IRN,Tehran,35.7,51.416667,"35.7, 51.416667",COUNTRY,,,
Iraq,IRQ,Baghdad,33.33333333,44.4,"33.3333333333333, 44.4",COUNTRY,,,
Iceland,ISL,Reykjavik,64.15,-21.95,"64.15, -21.95",COUNTRY,,,
Israel,ISR,Jerusalem,31.76666667,35.233333,"31.7666666666666, 35.233333",COUNTRY,,,
Italy,ITA,Rome,41.9,12.483333,"41.9, 12.483333",COUNTRY,,,
Jamaica,JAM,Kingston,18,-76.8,"18, -76.8",COUNTRY,,,
Jordan,JOR,Amman,31.95,35.933333,"31.95, 35.933333",COUNTRY,,,
Japan,JPN,Tokyo,35.68333333,139.75,"35.6833333333333, 139.75",COUNTRY,,,
Kazakhstan,KAZ,Astana,51.16666667,71.416667,"51.1666666666666, 71.416667",COUNTRY,,,
Kenya,KEN,Nairobi,-1.283333333,36.816667,"-1.28333333333333, 36.816667",COUNTRY,,,
Kyrgyz Republic,KGZ,Bishkek,42.86666667,74.6,"42.8666666666666, 74.6",COUNTRY,,,
Cambodia,KHM,Phnom Penh,11.55,104.916667,"11.55, 104.916667",COUNTRY,,,
Kiribati,KIR,Tarawa,-0.883333333,169.533333,"-0.883333333333333, 169.533333",COUNTRY,,,
St. Kitts and Nevis,KNA,Basseterre,17.3,-62.716667,"17.3, -62.716667",COUNTRY,,,
"Korea, Rep.",KOR,Seoul,37.55,126.983333,"37.55, 126.983333",COUNTRY,,,
Kuwait,KWT,Kuwait City,29.36666667,47.966667,"29.3666666666666, 47.966667",COUNTRY,,,
